enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,faixa_experiencia,tipo_empresa,sem_info_empresa
17410,city_24,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,2,48,0.0,6-10,Empresa privada,Com informação
6352,city_75,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,Funded Startup,1,30,0.0,6-10,Startup,Com informação
12705,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,14,,,>4,182,0.0,11-20,,Sem informação
10381,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,Humanities,19,10000+,Pvt Ltd,,13,1.0,11-20,Empresa privada,Com informação
32963,city_103,0.92,,No relevent experience,no_enrollment,Graduate,STEM,18,1000-4999,Public Sector,1,80,0.0,11-20,Setor público,Com informação
15502,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Funded Startup,>4,23,0.0,6-10,Startup,Com informação
32809,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,10,<10,Pvt Ltd,1,76,1.0,6-10,Empresa privada,Com informação
5094,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,53,0.0,>20,Empresa privada,Com informação
20257,city_160,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,39,1.0,>20,,Sem informação
20338,city_145,0.555,,No relevent experience,Full time course,High School,,4,,,1,73,1.0,1-5,,Sem informação
24906,city_123,0.738,Male,Has relevent experience,no_enrollment,Masters,STEM,19,50-99,Pvt Ltd,>4,18,0.0,11-20,Empresa privada,Com informação
2293,city_128,0.527,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,50-99,Pvt Ltd,1,22,1.0,<1,Empresa privada,Com informação
22683,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65,0.0,1-5,Empresa privada,Com informação
29440,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,<10,,2,60,1.0,1-5,,Sem informação
24516,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,18,0.0,>20,,Sem informação
9505,city_102,0.804,,Has relevent experience,no_enrollment,Graduate,STEM,7,,,1,47,0.0,6-10,,Sem informação
10268,city_61,0.913,Male,No relevent experience,Full time course,High School,,2,500-999,Public Sector,2,26,1.0,1-5,Setor público,Com informação
26218,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,10,1000-4999,Pvt Ltd,2,90,1.0,6-10,Empresa privada,Com informação
17088,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,1,5000-9999,,never,3,1.0,1-5,,Sem informação
7197,city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,7,100-500,,1,22,0.0,6-10,,Sem informação
10704,city_152,0.698,Male,Has relevent experience,Part time course,Masters,STEM,10,,,3,18,0.0,6-10,,Sem informação
12362,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,<1,10000+,Pvt Ltd,,28,1.0,<1,Empresa privada,Com informação
11754,city_36,0.893,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,>4,60,0.0,11-20,Empresa privada,Com informação
9998,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,5,10/49,Pvt Ltd,4,128,0.0,1-5,Empresa privada,Com informação
29679,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,5,<10,Pvt Ltd,1,76,0.0,1-5,Empresa privada,Com informação
208,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,58,1.0,>20,Empresa privada,Com informação
21635,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,,5000-9999,Pvt Ltd,1,242,0.0,,Empresa privada,Com informação
24931,city_10,0.895,Male,Has relevent experience,no_enrollment,Masters,STEM,14,100-500,Pvt Ltd,1,83,0.0,11-20,Empresa privada,Com informação
31408,city_138,0.836,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,500-999,Pvt Ltd,>4,26,0.0,11-20,Empresa privada,Com informação
17693,city_83,0.923,Male,Has relevent experience,no_enrollment,Masters,STEM,8,10/49,Early Stage Startup,2,288,0.0,6-10,Startup,Com informação
22865,city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,1000-4999,Pvt Ltd,1,9,0.0,1-5,Empresa privada,Com informação
18924,city_136,0.897,Female,Has relevent experience,no_enrollment,Masters,STEM,1,,,1,81,0.0,1-5,,Sem informação
16789,city_28,0.939,,Has relevent experience,no_enrollment,Masters,STEM,12,10000+,Pvt Ltd,3,106,0.0,11-20,Empresa privada,Com informação
27260,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,1,95,1.0,>20,Empresa privada,Com informação
1370,city_11,0.55,Male,Has relevent experience,Full time course,Graduate,STEM,2,,,1,65,1.0,1-5,,Sem informação
14432,city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,4,306,0.0,>20,Empresa privada,Com informação
27946,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,>4,41,0.0,>20,Startup,Com informação
20848,city_10,0.895,Female,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,94,0.0,11-20,Empresa privada,Com informação
1940,city_10,0.895,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,1,4,0.0,>20,Empresa privada,Com informação
15714,city_136,0.897,Male,Has relevent experience,,Masters,STEM,9,10000+,Pvt Ltd,>4,42,0.0,6-10,Empresa privada,Com informação
7811,city_36,0.893,,Has relevent experience,Part time course,High School,,,100-500,,,94,0.0,,,Sem informação
10416,city_160,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,,1,146,0.0,6-10,,Sem informação
8717,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,3,106,1.0,1-5,Empresa privada,Com informação
31023,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Early Stage Startup,1,27,0.0,1-5,Startup,Com informação
28650,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,16,0.0,11-20,Empresa privada,Com informação
20014,city_16,0.91,Male,Has relevent experience,no_enrollment,High School,,<1,10/49,Pvt Ltd,>4,57,0.0,<1,Empresa privada,Com informação
20396,city_115,0.789,Female,Has relevent experience,Full time course,Phd,STEM,8,100-500,Pvt Ltd,>4,11,0.0,6-10,Empresa privada,Com informação
2520,city_65,0.802,,Has relevent experience,Full time course,Graduate,STEM,8,500-999,Pvt Ltd,1,50,1.0,6-10,Empresa privada,Com informação
12497,city_65,0.802,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10/49,Early Stage Startup,>4,6,0.0,11-20,Startup,Com informação
273,city_21,0.624,Male,No relevent experience,Full time course,High School,,5,,,never,18,0.0,1-5,,Sem informação
29407,city_65,0.802,Male,Has relevent experience,,,,>20,1000-4999,Pvt Ltd,,6,0.0,>20,Empresa privada,Com informação
13574,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,316,0.0,6-10,Empresa privada,Com informação
20726,city_71,0.884,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,1,232,0.0,>20,Empresa privada,Com informação
11930,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,67,0.0,>20,Empresa privada,Com informação
28568,city_136,0.897,Male,Has relevent experience,Full time course,Graduate,Humanities,2,,,never,40,0.0,1-5,,Sem informação
19606,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,7,5000-9999,Pvt Ltd,1,26,1.0,6-10,Empresa privada,Com informação
26775,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,114,0.0,>20,Empresa privada,Com informação
6961,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,2,161,0.0,1-5,Empresa privada,Com informação
29627,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,,,2,87,0.0,11-20,,Sem informação
32110,city_10,0.895,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,40,0.0,>20,,Sem informação
22899,city_100,0.887,,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,1,31,1.0,6-10,Empresa privada,Com informação
25021,city_114,0.926,,No relevent experience,Full time course,High School,,10,10/49,Early Stage Startup,1,16,0.0,6-10,Startup,Com informação
25645,city_162,0.767,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10/49,Pvt Ltd,1,30,0.0,6-10,Empresa privada,Com informação
6848,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,>4,22,1.0,6-10,Empresa privada,Com informação
27696,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,56,0.0,>20,Empresa privada,Com informação
10421,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,19,0.0,>20,Empresa privada,Com informação
18906,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,54,0.0,1-5,Empresa privada,Com informação
16817,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,7,100-500,Pvt Ltd,1,11,0.0,6-10,Empresa privada,Com informação
21289,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,No Major,5,10/49,Pvt Ltd,3,6,1.0,1-5,Empresa privada,Com informação
16974,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,,,2,112,1.0,1-5,,Sem informação
15035,city_57,0.866,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,1,66,0.0,6-10,Empresa privada,Com informação
18506,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,1,50-99,Pvt Ltd,1,22,0.0,1-5,Empresa privada,Com informação
19045,city_116,0.743,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,1,34,0.0,>20,,Sem informação
21253,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,5,,,1,42,1.0,1-5,,Sem informação
425,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,2,12,0.0,6-10,Empresa privada,Com informação
33360,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,17,,,>4,65,1.0,11-20,,Sem informação
32928,city_16,0.91,Female,No relevent experience,no_enrollment,Graduate,STEM,9,10/49,Pvt Ltd,1,28,1.0,6-10,Empresa privada,Com informação
9211,city_100,0.887,Female,Has relevent experience,no_enrollment,Graduate,No Major,5,,,,12,0.0,1-5,,Sem informação
792,city_23,0.899,Male,No relevent experience,Part time course,Graduate,STEM,5,10000+,Pvt Ltd,3,5,0.0,1-5,Empresa privada,Com informação
14877,city_23,0.899,Female,Has relevent experience,no_enrollment,Masters,STEM,16,10000+,Pvt Ltd,>4,50,0.0,11-20,Empresa privada,Com informação
23205,city_97,0.925,Male,Has relevent experience,no_enrollment,Masters,STEM,19,10/49,Pvt Ltd,1,58,0.0,11-20,Empresa privada,Com informação
3744,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,100-500,Pvt Ltd,1,20,0.0,11-20,Empresa privada,Com informação
16112,city_46,0.762,,Has relevent experience,no_enrollment,Masters,STEM,4,1000-4999,Pvt Ltd,2,42,0.0,1-5,Empresa privada,Com informação
10473,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,2,2,1.0,1-5,Empresa privada,Com informação
22307,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,10000+,Pvt Ltd,>4,28,0.0,>20,Empresa privada,Com informação
9120,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,31,0.0,1-5,,Sem informação
17465,city_10,0.895,Female,No relevent experience,Full time course,Graduate,STEM,7,,NGO,1,21,1.0,6-10,ONG/Outros,Com informação
7716,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,1,68,0.0,6-10,Empresa privada,Com informação
1817,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,1,47,0.0,11-20,Empresa privada,Com informação
18265,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,>20,,,>4,89,1.0,>20,,Sem informação
30829,city_99,0.915,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,23,0.0,>20,Empresa privada,Com informação
2205,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,never,56,1.0,11-20,Empresa privada,Com informação
12733,city_114,0.926,Male,Has relevent experience,no_enrollment,High School,,>20,10/49,Pvt Ltd,3,145,0.0,>20,Empresa privada,Com informação
3193,city_142,0.727,,Has relevent experience,no_enrollment,Graduate,STEM,20,,,>4,37,0.0,11-20,,Sem informação
29162,city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,12,,,1,91,1.0,11-20,,Sem informação
11815,city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Funded Startup,1,31,0.0,1-5,Startup,Com informação
28942,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,,,1,34,0.0,6-10,,Sem informação
17750,city_103,0.92,,No relevent experience,Full time course,,,5,10/49,,4,48,0.0,1-5,,Sem informação
5763,city_149,0.6890000000000001,Male,Has relevent experience,no_enrollment,Primary School,,16,,,>4,154,0.0,11-20,,Sem informação
32691,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,50-99,Pvt Ltd,never,64,0.0,11-20,Empresa privada,Com informação
7635,city_89,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,11,50-99,,,270,0.0,11-20,,Sem informação
19070,city_16,0.91,Female,No relevent experience,,High School,,3,,,never,122,0.0,1-5,,Sem informação
18401,city_11,0.55,,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Pvt Ltd,3,29,1.0,1-5,Empresa privada,Com informação
4648,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,4,,,1,108,0.0,1-5,,Sem informação
31146,city_10,0.895,Male,Has relevent experience,Part time course,Graduate,STEM,3,10/49,Pvt Ltd,never,33,0.0,1-5,Empresa privada,Com informação
18749,city_55,0.7390000000000001,,No relevent experience,no_enrollment,Graduate,STEM,9,,,,2,1.0,6-10,,Sem informação
25888,city_21,0.624,Male,No relevent experience,Full time course,High School,,6,,,never,44,1.0,6-10,,Sem informação
18750,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10/49,Early Stage Startup,>4,119,0.0,11-20,Startup,Com informação
32313,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Public Sector,3,23,0.0,6-10,Setor público,Com informação
18254,city_103,0.92,,No relevent experience,no_enrollment,High School,,<1,,,,57,0.0,<1,,Sem informação
6018,city_114,0.926,Male,Has relevent experience,Full time course,Masters,STEM,11,50-99,Pvt Ltd,1,24,0.0,11-20,Empresa privada,Com informação
6730,city_23,0.899,Male,Has relevent experience,no_enrollment,High School,,8,50-99,Public Sector,1,34,0.0,6-10,Setor público,Com informação
9513,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,,,1,77,0.0,>20,,Sem informação
21560,city_114,0.926,Male,Has relevent experience,no_enrollment,High School,,>20,50-99,Pvt Ltd,2,37,0.0,>20,Empresa privada,Com informação
25589,city_75,0.939,Male,No relevent experience,Full time course,High School,,7,5000-9999,Pvt Ltd,2,48,0.0,6-10,Empresa privada,Com informação
17753,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Pvt Ltd,1,92,0.0,11-20,Empresa privada,Com informação
11142,city_138,0.836,Male,Has relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,104,0.0,1-5,Empresa privada,Com informação
19379,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,1000-4999,Pvt Ltd,>4,26,0.0,11-20,Empresa privada,Com informação
23417,city_114,0.926,,No relevent experience,no_enrollment,Masters,STEM,14,1000-4999,Pvt Ltd,2,23,0.0,11-20,Empresa privada,Com informação
15487,city_28,0.939,,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,1,89,0.0,>20,Empresa privada,Com informação
23482,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,>4,56,0.0,11-20,Empresa privada,Com informação
6284,city_116,0.743,Male,Has relevent experience,no_enrollment,Masters,STEM,11,,,1,28,1.0,11-20,,Sem informação
11834,city_114,0.926,,Has relevent experience,Part time course,Graduate,STEM,15,10/49,Pvt Ltd,>4,73,0.0,11-20,Empresa privada,Com informação
16592,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,18,5000-9999,Pvt Ltd,2,99,0.0,11-20,Empresa privada,Com informação
13673,city_11,0.55,,Has relevent experience,no_enrollment,Masters,STEM,2,100-500,,1,56,0.0,1-5,,Sem informação
21727,city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,>20,,,2,32,1.0,>20,,Sem informação
24917,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,<10,Pvt Ltd,1,204,0.0,1-5,Empresa privada,Com informação
7952,city_21,0.624,Female,No relevent experience,Full time course,Graduate,STEM,6,10000+,Public Sector,1,15,1.0,6-10,Setor público,Com informação
10871,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,3,100,0.0,>20,Empresa privada,Com informação
21889,city_114,0.926,Male,Has relevent experience,no_enrollment,,,15,500-999,Pvt Ltd,>4,25,0.0,11-20,Empresa privada,Com informação
7334,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,3,43,0.0,6-10,Empresa privada,Com informação
11509,city_21,0.624,,Has relevent experience,,Graduate,STEM,4,100-500,Pvt Ltd,4,26,1.0,1-5,Empresa privada,Com informação
755,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,5,5000-9999,Pvt Ltd,1,25,1.0,1-5,Empresa privada,Com informação
32534,city_102,0.804,Male,Has relevent experience,Full time course,Graduate,STEM,9,5000-9999,Pvt Ltd,1,74,0.0,6-10,Empresa privada,Com informação
10988,city_136,0.897,,Has relevent experience,no_enrollment,Masters,STEM,8,,Pvt Ltd,1,55,0.0,6-10,Empresa privada,Com informação
641,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,1,500-999,,1,154,0.0,1-5,,Sem informação
20655,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,never,51,1.0,6-10,Empresa privada,Com informação
27407,city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10000+,Pvt Ltd,1,45,0.0,11-20,Empresa privada,Com informação
17629,city_57,0.866,Male,Has relevent experience,no_enrollment,Masters,STEM,19,,,3,101,1.0,11-20,,Sem informação
19767,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,,,1,66,0.0,1-5,,Sem informação
24944,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,2,10000+,Pvt Ltd,never,44,0.0,1-5,Empresa privada,Com informação
30923,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,11,0.0,>20,Empresa privada,Com informação
5311,city_100,0.887,,No relevent experience,Part time course,Graduate,STEM,>20,,,2,12,1.0,>20,,Sem informação
12713,city_114,0.926,,Has relevent experience,no_enrollment,Phd,Humanities,1,50-99,Pvt Ltd,1,10,0.0,1-5,Empresa privada,Com informação
3649,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,,Public Sector,>4,43,1.0,>20,Setor público,Com informação
7014,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Public Sector,1,83,0.0,>20,Setor público,Com informação
8196,city_100,0.887,Male,Has relevent experience,Full time course,Graduate,STEM,>20,,,1,50,1.0,>20,,Sem informação
3540,city_71,0.884,Male,Has relevent experience,Part time course,Graduate,STEM,8,50-99,Pvt Ltd,2,69,0.0,6-10,Empresa privada,Com informação
2679,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,4,71,0.0,6-10,Empresa privada,Com informação
16700,city_71,0.884,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Funded Startup,1,94,0.0,1-5,Startup,Com informação
20667,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,7,<10,Early Stage Startup,1,40,0.0,6-10,Startup,Com informação
28681,city_103,0.92,Female,No relevent experience,no_enrollment,Graduate,STEM,1,,,1,23,1.0,1-5,,Sem informação
18571,city_21,0.624,Female,Has relevent experience,,Masters,STEM,7,50-99,Pvt Ltd,1,12,1.0,6-10,Empresa privada,Com informação
4014,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,4,22,0.0,1-5,Empresa privada,Com informação
23023,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,>4,20,0.0,6-10,Empresa privada,Com informação
13795,city_16,0.91,,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,>4,66,0.0,6-10,Empresa privada,Com informação
6255,city_160,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,1,16,0.0,>20,,Sem informação
5694,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,never,37,1.0,1-5,Empresa privada,Com informação
16182,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1,16,0.0,1-5,Empresa privada,Com informação
23900,city_61,0.913,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,50-99,Pvt Ltd,>4,12,0.0,>20,Empresa privada,Com informação
22710,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,2,140,1.0,6-10,Empresa privada,Com informação
9015,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,4,,,1,34,1.0,1-5,,Sem informação
16926,city_114,0.926,,No relevent experience,Full time course,Graduate,STEM,5,500-999,Pvt Ltd,1,264,0.0,1-5,Empresa privada,Com informação
1170,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,100-500,Pvt Ltd,>4,20,0.0,11-20,Empresa privada,Com informação
25809,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,1000-4999,Pvt Ltd,4,23,0.0,11-20,Empresa privada,Com informação
2956,city_65,0.802,Male,Has relevent experience,no_enrollment,Masters,STEM,6,,,2,85,0.0,6-10,,Sem informação
27715,city_104,0.924,Male,No relevent experience,no_enrollment,High School,,>20,<10,Pvt Ltd,>4,35,0.0,>20,Empresa privada,Com informação
24901,city_114,0.926,Male,No relevent experience,no_enrollment,,,3,,,never,47,0.0,1-5,,Sem informação
20156,city_128,0.527,,Has relevent experience,no_enrollment,Graduate,STEM,9,,,>4,118,1.0,6-10,,Sem informação
18980,city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,2,59,0.0,11-20,Empresa privada,Com informação
4789,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,210,0.0,6-10,Empresa privada,Com informação
23712,city_143,0.74,Male,No relevent experience,no_enrollment,Masters,STEM,14,1000-4999,NGO,3,96,0.0,11-20,ONG/Outros,Com informação
15814,city_159,0.843,,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Funded Startup,4,134,1.0,6-10,Startup,Com informação
488,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,3,32,0.0,6-10,Empresa privada,Com informação
8080,city_21,0.624,Male,No relevent experience,no_enrollment,Masters,STEM,3,10000+,Pvt Ltd,3,28,1.0,1-5,Empresa privada,Com informação
32709,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,2,22,0.0,6-10,Empresa privada,Com informação
24881,city_90,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,6,<10,Pvt Ltd,1,46,0.0,6-10,Empresa privada,Com informação
22070,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,1,136,0.0,>20,,Sem informação
7970,city_45,0.89,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,65,0.0,>20,Empresa privada,Com informação
24076,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,8,10000+,Pvt Ltd,4,122,0.0,6-10,Empresa privada,Com informação
11399,city_13,0.8270000000000001,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,,,1,132,1.0,1-5,,Sem informação
12143,city_104,0.924,Male,No relevent experience,Full time course,Masters,STEM,>20,500-999,NGO,2,24,0.0,>20,ONG/Outros,Com informação
19686,city_128,0.527,Male,No relevent experience,Full time course,High School,,7,,,1,44,1.0,6-10,,Sem informação
29905,city_136,0.897,Female,Has relevent experience,no_enrollment,Masters,STEM,12,,,>4,35,0.0,11-20,,Sem informação
15512,city_21,0.624,,No relevent experience,no_enrollment,High School,,6,,,>4,17,1.0,6-10,,Sem informação
16746,city_103,0.92,Male,No relevent experience,no_enrollment,Primary School,,3,,,never,111,0.0,1-5,,Sem informação
